,precision,recall,f1-score,support
0,0.6997867803837953,0.8217325988983475,0.7558728696453249,1997.0
1,0.6091370558375635,0.5973120955699353,0.6031666247800955,2009.0
2,0.8183976261127597,0.6915747241725175,0.7496602337591737,1994.0
accuracy,0.7033333333333334,0.7033333333333334,0.7033333333333334,0.7033333333333334
macro avg,0.7091071541113729,0.7035398062136001,0.7028999093948647,6000.0
weighted avg,0.7088525686788245,0.7033333333333334,0.7026770626634531,6000.0
