,precision,recall,f1-score,support
0,0.7848167539267016,0.7506259389083625,0.7673406705912464,1997.0
1,0.6166365280289331,0.6789447486311598,0.6462923477848851,2009.0
2,0.8045793397231097,0.7577733199598796,0.7804752066115702,1994.0
accuracy,0.729,0.729,0.729,0.729
macro avg,0.7353442072262482,0.7291146691664673,0.7313694083292339,6000.0
weighted avg,0.735072174301605,0.729,0.7311747013090041,6000.0
